START.DATE,END.DATE,CONTACT.TYPE,Contacts
2010-01-15,2010-01-15,Web - Input,72
2010-01-16,2010-01-16,Call - Input,188
2010-01-16,2010-01-16,Web - Input,8
2010-01-17,2010-01-17,Call - Input,82
2010-01-17,2010-01-17,Web - Input,9
2010-01-17,2010-01-18,Call - Input,1
2010-01-18,2010-01-18,Call - Input,4340
2010-01-18,2010-01-18,Fax - Input,62
2010-01-18,2010-01-18,Fax Acknowledgement - Input,11
2010-01-18,2010-01-18,Internal Management,23
2010-01-18,2010-01-18,Mail - Input,7
2010-01-18,2010-01-18,Mail - Recieved,6
2010-01-18,2010-01-18,Visit,526
2010-01-18,2010-01-18,Web - Input,87
2010-01-19,2010-01-19,Call - Input,4292
2010-01-19,2010-01-19,Fax - Input,72
2010-01-19,2010-01-19,Fax Acknowledgement - Input,5
2010-01-19,2010-01-19,Internal Management,23
2010-01-19,2010-01-19,Mail - Input,5
2010-01-19,2010-01-19,Mail - Recieved,16
2010-01-19,2010-01-19,Visit,508
2010-01-19,2010-01-19,Web - Input,122
2010-01-20,2010-01-20,Call - Input,3770
2010-01-20,2010-01-20,Fax - Input,42
2010-01-20,2010-01-20,Fax Acknowledgement - Input,7
2010-01-20,2010-01-20,Internal Management,24
2010-01-20,2010-01-20,Mail - Input,19
2010-01-20,2010-01-20,Mail - Recieved,10
2010-01-20,2010-01-20,Visit,466
2010-01-20,2010-01-20,Web - Input,100
2010-01-21,2010-01-21,Call - Input,3662
2010-01-21,2010-01-21,Fax - Input,58
2010-01-21,2010-01-21,Fax Acknowledgement - Input,6
2010-01-21,2010-01-21,Internal Management,19
2010-01-21,2010-01-21,Mail - Input,11
2010-01-21,2010-01-21,Mail - Recieved,4
2010-01-21,2010-01-21,Visit,452
2010-01-21,2010-01-21,Web - Input,83
2010-01-22,2010-01-22,Call - Input,3080
2010-01-22,2010-01-22,Fax - Input,59
2010-01-22,2010-01-22,Fax Acknowledgement - Input,9
2010-01-22,2010-01-22,Internal Management,23
2010-01-22,2010-01-22,Mail - Input,5
2010-01-22,2010-01-22,Mail - Recieved,11
2010-01-22,2010-01-22,Visit,376
2010-01-22,2010-01-22,Web - Input,96
2010-01-23,2010-01-23,Call - Input,73
2010-01-23,2010-01-23,Web - Input,2
2010-01-24,2010-01-24,Call - Input,183
2010-01-24,2010-01-24,Web - Input,21
2010-01-25,2010-01-25,Call - Input,4035
2010-01-25,2010-01-25,Fax - Input,53
2010-01-25,2010-01-25,Fax Acknowledgement - Input,5
2010-01-25,2010-01-25,Internal Management,38
2010-01-25,2010-01-25,Mail - Input,5
2010-01-25,2010-01-25,Mail - Recieved,10
2010-01-25,2010-01-25,Visit,466
2010-01-25,2010-01-25,Web - Input,146
2010-01-25,2010-01-26,Call - Input,1
2010-01-26,2010-01-26,Call - Input,3852
2010-01-26,2010-01-26,Fax - Input,60
2010-01-26,2010-01-26,Fax Acknowledgement - Input,7
2010-01-26,2010-01-26,Internal Management,22
2010-01-26,2010-01-26,Mail - Input,15
2010-01-26,2010-01-26,Mail - Recieved,15
2010-01-26,2010-01-26,Visit,598
2010-01-26,2010-01-26,Web - Input,104
2010-01-27,2010-01-27,Call - Input,3965
2010-01-27,2010-01-27,Fax - Input,48
2010-01-27,2010-01-27,Fax Acknowledgement - Input,8
2010-01-27,2010-01-27,Internal Management,15
2010-01-27,2010-01-27,Mail - Input,2
2010-01-27,2010-01-27,Mail - Recieved,10
2010-01-27,2010-01-27,Visit,492
2010-01-27,2010-01-27,Web - Input,106
2010-01-28,2010-01-28,Call - Input,4007
2010-01-28,2010-01-28,Fax - Input,88
2010-01-28,2010-01-28,Fax Acknowledgement - Input,11
2010-01-28,2010-01-28,Internal Management,19
2010-01-28,2010-01-28,Mail - Input,15
2010-01-28,2010-01-28,Mail - Recieved,8
2010-01-28,2010-01-28,Visit,519
2010-01-28,2010-01-28,Web - Input,104
2010-01-28,2010-01-29,Call - Input,1
2010-01-29,2010-01-29,Call - Input,3554
2010-01-29,2010-01-29,Fax - Input,50
2010-01-29,2010-01-29,Fax Acknowledgement - Input,3
2010-01-29,2010-01-29,Internal Management,13
2010-01-29,2010-01-29,Mail - Input,13
2010-01-29,2010-01-29,Mail - Recieved,3
2010-01-29,2010-01-29,Visit,477
2010-01-29,2010-01-29,Web - Input,89
2010-01-29,2010-01-30,Call - Input,1
2010-01-30,2010-01-30,Call - Input,247
2010-01-30,2010-01-30,Web - Input,21
2010-01-31,2010-01-31,Call - Input,140
2010-01-31,2010-01-31,Web - Input,12
2010-01-31,2010-02-01,Call - Input,1
2010-02-01,2010-02-01,Call - Input,5123
2010-02-01,2010-02-01,Fax - Input,48
2010-02-01,2010-02-01,Fax Acknowledgement - Input,3
2010-02-01,2010-02-01,Internal Management,28
2010-02-01,2010-02-01,Mail - Input,25
2010-02-01,2010-02-01,Mail - Recieved,10
2010-02-01,2010-02-01,Visit,630
2010-02-01,2010-02-01,Web - Input,146
2010-02-02,2010-02-02,Call - Input,4764
2010-02-02,2010-02-02,Fax - Input,82
2010-02-02,2010-02-02,Fax Acknowledgement - Input,11
2010-02-02,2010-02-02,Internal Management,32
2010-02-02,2010-02-02,Mail - Input,7
2010-02-02,2010-02-02,Mail - Recieved,17
2010-02-02,2010-02-02,Visit,561
2010-02-02,2010-02-02,Web - Input,115
2010-02-03,2010-02-03,Call - Input,4453
2010-02-03,2010-02-03,Fax - Input,49
2010-02-03,2010-02-03,Fax Acknowledgement - Input,11
2010-02-03,2010-02-03,Internal Management,35
2010-02-03,2010-02-03,Mail - Input,12
2010-02-03,2010-02-03,Mail - Recieved,15
2010-02-03,2010-02-03,Visit,466
2010-02-03,2010-02-03,Web - Input,99
2010-02-04,2010-02-04,Call - Input,4399
2010-02-04,2010-02-04,Fax - Input,61
2010-02-04,2010-02-04,Fax Acknowledgement - Input,3
2010-02-04,2010-02-04,Internal Management,34
2010-02-04,2010-02-04,Mail - Input,16
2010-02-04,2010-02-04,Mail - Recieved,12
2010-02-04,2010-02-04,Visit,481
2010-02-04,2010-02-04,Web - Input,121
2010-02-05,2010-02-05,Call - Input,3153
2010-02-05,2010-02-05,Fax - Input,52
2010-02-05,2010-02-05,Fax Acknowledgement - Input,2
2010-02-05,2010-02-05,Internal Management,15
2010-02-05,2010-02-05,Mail - Input,8
2010-02-05,2010-02-05,Mail - Recieved,5
2010-02-05,2010-02-05,Visit,413
2010-02-05,2010-02-05,Web - Input,86
2010-02-06,2010-02-06,Call - Input,200
2010-02-06,2010-02-06,Web - Input,16
2010-02-07,2010-02-07,Call - Input,109
2010-02-07,2010-02-07,Web - Input,18
2010-02-08,2010-02-08,Call - Input,4078
2010-02-08,2010-02-08,Fax - Input,39
2010-02-08,2010-02-08,Fax Acknowledgement - Input,7
2010-02-08,2010-02-08,Internal Management,33
2010-02-08,2010-02-08,Mail - Input,15
2010-02-08,2010-02-08,Mail - Recieved,10
2010-02-08,2010-02-08,Visit,534
2010-02-08,2010-02-08,Web - Input,458
2010-02-09,2010-02-09,Call - Input,4127
2010-02-09,2010-02-09,Fax - Input,58
2010-02-09,2010-02-09,Fax Acknowledgement - Input,5
2010-02-09,2010-02-09,Internal Management,35
2010-02-09,2010-02-09,Mail - Input,8
2010-02-09,2010-02-09,Mail - Recieved,15
2010-02-09,2010-02-09,Visit,510
2010-02-09,2010-02-09,Web - Input,122
2010-02-09,2010-02-10,Call - Input,2
2010-02-10,2010-02-10,Call - Input,4057
2010-02-10,2010-02-10,Fax - Input,62
2010-02-10,2010-02-10,Fax Acknowledgement - Input,8
2010-02-10,2010-02-10,Internal Management,26
2010-02-10,2010-02-10,Mail - Input,31
2010-02-10,2010-02-10,Mail - Recieved,12
2010-02-10,2010-02-10,Visit,539
2010-02-10,2010-02-10,Web - Input,110
2010-02-11,2010-02-11,Call - Input,3643
2010-02-11,2010-02-11,Fax - Input,61
2010-02-11,2010-02-11,Fax Acknowledgement - Input,3
2010-02-11,2010-02-11,Internal Management,36
2010-02-11,2010-02-11,Mail - Input,11
2010-02-11,2010-02-11,Mail - Recieved,13
2010-02-11,2010-02-11,Visit,539
2010-02-11,2010-02-11,Web - Input,85
2010-02-12,2010-02-12,Call - Input,2842
2010-02-12,2010-02-12,Fax - Input,54
2010-02-12,2010-02-12,Fax Acknowledgement - Input,17
2010-02-12,2010-02-12,Internal Management,28
2010-02-12,2010-02-12,Mail - Input,9
2010-02-12,2010-02-12,Mail - Recieved,5
2010-02-12,2010-02-12,Visit,387
2010-02-12,2010-02-12,Web - Input,78
2010-02-12,2010-02-13,Call - Input,1
2010-02-13,2010-02-13,Call - Input,105
2010-02-13,2010-02-13,Web - Input,7
2010-02-13,2010-02-14,Call - Input,1
2010-02-14,2010-02-14,Call - Input,205
2010-02-14,2010-02-14,Web - Input,9
2010-02-15,2010-02-15,Call - Input,4404
2010-02-15,2010-02-15,Fax - Input,67
2010-02-15,2010-02-15,Fax Acknowledgement - Input,9
2010-02-15,2010-02-15,Internal Management,40
2010-02-15,2010-02-15,Mail - Input,32
2010-02-15,2010-02-15,Mail - Recieved,5
2010-02-15,2010-02-15,Visit,523
2010-02-15,2010-02-15,Web - Input,114
2010-02-15,2010-02-16,Call - Input,1
2010-02-16,2010-02-16,Call - Input,4007
2010-02-16,2010-02-16,Fax - Input,50
2010-02-16,2010-02-16,Fax Acknowledgement - Input,11
2010-02-16,2010-02-16,Internal Management,25
2010-02-16,2010-02-16,Mail - Input,9
2010-02-16,2010-02-16,Mail - Recieved,4
2010-02-16,2010-02-16,Visit,500
2010-02-16,2010-02-16,Web - Input,89
2010-02-16,2010-02-17,Call - Input,1
2010-02-17,2010-02-17,Call - Input,4166
2010-02-17,2010-02-17,Fax - Input,65
2010-02-17,2010-02-17,Fax Acknowledgement - Input,13
2010-02-17,2010-02-17,Internal Management,33
2010-02-17,2010-02-17,Mail - Input,30
2010-02-17,2010-02-17,Mail - Recieved,7
2010-02-17,2010-02-17,Visit,488
2010-02-17,2010-02-17,Web - Input,113
2010-02-17,2010-02-18,Call - Input,1
2010-02-18,2010-02-18,Call - Input,3708
2010-02-18,2010-02-18,Fax - Input,79
2010-02-18,2010-02-18,Fax Acknowledgement - Input,8
2010-02-18,2010-02-18,Internal Management,34
2010-02-18,2010-02-18,Mail - Input,20
2010-02-18,2010-02-18,Mail - Recieved,3
2010-02-18,2010-02-18,Visit,504
2010-02-18,2010-02-18,Web - Input,111
2010-02-18,2010-02-19,Call - Input,1
2010-02-19,2010-02-19,Call - Input,3204
2010-02-19,2010-02-19,Fax - Input,44
2010-02-19,2010-02-19,Fax Acknowledgement - Input,6
2010-02-19,2010-02-19,Internal Management,33
2010-02-19,2010-02-19,Mail - Input,6
2010-02-19,2010-02-19,Mail - Recieved,4
2010-02-19,2010-02-19,Visit,432
2010-02-19,2010-02-19,Web - Input,70
2010-02-19,2010-02-20,Call - Input,1
2010-02-20,2010-02-20,Call - Input,325
2010-02-20,2010-02-20,Web - Input,2
2010-02-21,2010-02-21,Call - Input,160
2010-02-21,2010-02-21,Web - Input,9
2010-02-22,2010-02-22,Call - Input,4263
2010-02-22,2010-02-22,Fax - Input,71
2010-02-22,2010-02-22,Fax Acknowledgement - Input,9
2010-02-22,2010-02-22,Internal Management,41
2010-02-22,2010-02-22,Mail - Input,7
2010-02-22,2010-02-22,Mail - Recieved,14
2010-02-22,2010-02-22,Visit,525
2010-02-22,2010-02-22,Web - Input,147
2010-02-23,2010-02-23,Call - Input,4040
2010-02-23,2010-02-23,Fax - Input,79
2010-02-23,2010-02-23,Fax Acknowledgement - Input,11
2010-02-23,2010-02-23,Internal Management,34
2010-02-23,2010-02-23,Mail - Input,9
2010-02-23,2010-02-23,Mail - Recieved,27
2010-02-23,2010-02-23,Visit,544
2010-02-23,2010-02-23,Web - Input,105
2010-02-24,2010-02-24,Call - Input,4152
2010-02-24,2010-02-24,Fax - Input,67
2010-02-24,2010-02-24,Fax Acknowledgement - Input,12
2010-02-24,2010-02-24,Internal Management,28
2010-02-24,2010-02-24,Mail - Input,24
2010-02-24,2010-02-24,Mail - Recieved,8
2010-02-24,2010-02-24,Visit,525
2010-02-24,2010-02-24,Web - Input,63
2010-02-24,2010-02-25,Call - Input,1
2010-02-25,2010-02-25,Call - Input,3493
2010-02-25,2010-02-25,Fax - Input,67
2010-02-25,2010-02-25,Fax Acknowledgement - Input,16
2010-02-25,2010-02-25,Internal Management,41
2010-02-25,2010-02-25,Mail - Input,5
2010-02-25,2010-02-25,Mail - Recieved,4
2010-02-25,2010-02-25,Visit,506
2010-02-25,2010-02-25,Web - Input,120
2010-02-26,2010-02-26,Call - Input,3395
2010-02-26,2010-02-26,Fax - Input,60
2010-02-26,2010-02-26,Fax Acknowledgement - Input,5
2010-02-26,2010-02-26,Internal Management,26
2010-02-26,2010-02-26,Mail - Input,20
2010-02-26,2010-02-26,Mail - Recieved,11
2010-02-26,2010-02-26,Visit,385
2010-02-26,2010-02-26,Web - Input,58
2010-02-27,2010-02-27,Call - Input,240
2010-02-27,2010-02-27,Web - Input,7
2010-02-28,2010-02-28,Call - Input,148
2010-02-28,2010-02-28,Web - Input,17
2010-03-01,2010-03-01,Call - Input,4811
2010-03-01,2010-03-01,Fax - Input,77
2010-03-01,2010-03-01,Fax Acknowledgement - Input,11
2010-03-01,2010-03-01,Internal Management,51
2010-03-01,2010-03-01,Mail - Input,4
2010-03-01,2010-03-01,Mail - Recieved,2
2010-03-01,2010-03-01,Visit,587
2010-03-01,2010-03-01,Web - Input,138
2010-03-02,2010-03-02,Call - Input,4725
2010-03-02,2010-03-02,Fax - Input,58
2010-03-02,2010-03-02,Fax Acknowledgement - Input,6
2010-03-02,2010-03-02,Internal Management,48
2010-03-02,2010-03-02,Mail - Input,30
2010-03-02,2010-03-02,Mail - Recieved,7
2010-03-02,2010-03-02,Visit,584
2010-03-02,2010-03-02,Web - Input,130
2010-03-03,2010-03-03,Call - Input,4102
2010-03-03,2010-03-03,Fax - Input,51
2010-03-03,2010-03-03,Fax Acknowledgement - Input,7
2010-03-03,2010-03-03,Internal Management,37
2010-03-03,2010-03-03,Mail - Input,22
2010-03-03,2010-03-03,Mail - Recieved,19
2010-03-03,2010-03-03,Visit,471
2010-03-03,2010-03-03,Web - Input,130
2010-03-03,2010-03-04,Call - Input,1
2010-03-04,2010-03-04,Call - Input,4143
2010-03-04,2010-03-04,Fax - Input,66
2010-03-04,2010-03-04,Fax Acknowledgement - Input,5
2010-03-04,2010-03-04,Internal Management,30
2010-03-04,2010-03-04,Mail - Input,9
2010-03-04,2010-03-04,Mail - Recieved,8
2010-03-04,2010-03-04,Visit,482
2010-03-04,2010-03-04,Web - Input,117
2010-03-04,2010-03-05,Call - Input,1
2010-03-05,2010-03-05,Call - Input,3461
2010-03-05,2010-03-05,Fax - Input,60
2010-03-05,2010-03-05,Fax Acknowledgement - Input,5
2010-03-05,2010-03-05,Internal Management,21
2010-03-05,2010-03-05,Mail - Input,12
2010-03-05,2010-03-05,Mail - Recieved,12
2010-03-05,2010-03-05,Visit,436
2010-03-05,2010-03-05,Web - Input,88
2010-03-06,2010-03-06,Call - Input,160
2010-03-06,2010-03-06,Web - Input,22
2010-03-07,2010-03-07,Call - Input,56
2010-03-07,2010-03-07,Web - Input,37
2010-03-08,2010-03-08,Call - Input,3892
2010-03-08,2010-03-08,Fax - Input,79
2010-03-08,2010-03-08,Fax Acknowledgement - Input,11
2010-03-08,2010-03-08,Internal Management,30
2010-03-08,2010-03-08,Mail - Input,10
2010-03-08,2010-03-08,Mail - Recieved,5
2010-03-08,2010-03-08,Visit,449
2010-03-08,2010-03-08,Web - Input,139
2010-03-09,2010-03-09,Call - Input,3913
2010-03-09,2010-03-09,Fax - Input,75
2010-03-09,2010-03-09,Fax Acknowledgement - Input,7
2010-03-09,2010-03-09,Internal Management,37
2010-03-09,2010-03-09,Mail - Input,4
2010-03-09,2010-03-09,Mail - Recieved,7
2010-03-09,2010-03-09,Visit,524
2010-03-09,2010-03-09,Web - Input,85
2010-03-10,2010-03-10,Call - Input,3989
2010-03-10,2010-03-10,Fax - Input,68
2010-03-10,2010-03-10,Fax Acknowledgement - Input,7
2010-03-10,2010-03-10,Internal Management,52
2010-03-10,2010-03-10,Mail - Input,18
2010-03-10,2010-03-10,Mail - Recieved,7
2010-03-10,2010-03-10,Visit,550
2010-03-10,2010-03-10,Web - Input,99
2010-03-11,2010-03-11,Call - Input,3575
2010-03-11,2010-03-11,Fax - Input,45
2010-03-11,2010-03-11,Fax Acknowledgement - Input,4
2010-03-11,2010-03-11,Internal Management,19
2010-03-11,2010-03-11,Mail - Input,6
2010-03-11,2010-03-11,Mail - Recieved,27
2010-03-11,2010-03-11,Visit,517
2010-03-11,2010-03-11,Web - Input,94
2010-03-12,2010-03-12,Call - Input,3061
2010-03-12,2010-03-12,Fax - Input,44
2010-03-12,2010-03-12,Fax Acknowledgement - Input,7
2010-03-12,2010-03-12,Internal Management,36
2010-03-12,2010-03-12,Mail - Input,8
2010-03-12,2010-03-12,Mail - Recieved,6
2010-03-12,2010-03-12,Visit,428
2010-03-12,2010-03-12,Web - Input,81
2010-03-12,2010-03-13,Call - Input,2
2010-03-13,2010-03-13,Call - Input,410
2010-03-13,2010-03-13,Web - Input,15
2010-03-13,2010-03-14,Call - Input,1
2010-03-14,2010-03-14,Call - Input,296
2010-03-14,2010-03-14,Web - Input,18
2010-03-14,2010-03-15,Call - Input,1
2010-03-15,2010-03-15,Call - Input,4358
2010-03-15,2010-03-15,Fax - Input,53
2010-03-15,2010-03-15,Fax Acknowledgement - Input,7
2010-03-15,2010-03-15,Internal Management,31
2010-03-15,2010-03-15,Mail - Input,10
2010-03-15,2010-03-15,Mail - Recieved,12
2010-03-15,2010-03-15,Visit,558
2010-03-15,2010-03-15,Web - Input,158
2010-03-15,2010-03-16,Call - Input,1
2010-03-16,2010-03-16,Call - Input,4101
2010-03-16,2010-03-16,Fax - Input,57
2010-03-16,2010-03-16,Fax Acknowledgement - Input,13
2010-03-16,2010-03-16,Internal Management,41
2010-03-16,2010-03-16,Mail - Input,12
2010-03-16,2010-03-16,Mail - Recieved,9
2010-03-16,2010-03-16,Visit,508
2010-03-16,2010-03-16,Web - Input,121
2010-03-17,2010-03-17,Call - Input,3727
2010-03-17,2010-03-17,Fax - Input,74
2010-03-17,2010-03-17,Fax Acknowledgement - Input,10
2010-03-17,2010-03-17,Internal Management,29
2010-03-17,2010-03-17,Mail - Input,5
2010-03-17,2010-03-17,Mail - Recieved,29
2010-03-17,2010-03-17,Visit,445
2010-03-17,2010-03-17,Web - Input,104
2010-03-18,2010-03-18,Call - Input,3764
2010-03-18,2010-03-18,Fax - Input,63
2010-03-18,2010-03-18,Fax Acknowledgement - Input,5
2010-03-18,2010-03-18,Internal Management,31
2010-03-18,2010-03-18,Mail - Input,12
2010-03-18,2010-03-18,Mail - Recieved,4
2010-03-18,2010-03-18,Visit,451
2010-03-18,2010-03-18,Web - Input,104
2010-03-18,2010-03-19,Call - Input,1
2010-03-19,2010-03-19,Call - Input,3415
2010-03-19,2010-03-19,Fax - Input,48
2010-03-19,2010-03-19,Fax Acknowledgement - Input,4
2010-03-19,2010-03-19,Internal Management,33
2010-03-19,2010-03-19,Mail - Input,20
2010-03-19,2010-03-19,Mail - Recieved,7
2010-03-19,2010-03-19,Visit,382
2010-03-19,2010-03-19,Web - Input,83
2010-03-20,2010-03-20,Call - Input,215
2010-03-20,2010-03-20,Web - Input,13
2010-03-21,2010-03-21,Call - Input,115
2010-03-21,2010-03-21,Web - Input,13
2010-03-22,2010-03-22,Call - Input,4621
2010-03-22,2010-03-22,Fax - Input,70
2010-03-22,2010-03-22,Fax Acknowledgement - Input,7
2010-03-22,2010-03-22,Internal Management,46
2010-03-22,2010-03-22,Mail - Input,14
2010-03-22,2010-03-22,Mail - Recieved,12
2010-03-22,2010-03-22,Visit,500
2010-03-22,2010-03-22,Web - Input,157
2010-03-23,2010-03-23,Call - Input,4135
2010-03-23,2010-03-23,Fax - Input,71
2010-03-23,2010-03-23,Fax Acknowledgement - Input,10
2010-03-23,2010-03-23,Internal Management,49
2010-03-23,2010-03-23,Mail - Input,11
2010-03-23,2010-03-23,Mail - Recieved,19
2010-03-23,2010-03-23,Visit,541
2010-03-23,2010-03-23,Web - Input,100
2010-03-24,2010-03-24,Call - Input,3669
2010-03-24,2010-03-24,Fax - Input,72
2010-03-24,2010-03-24,Fax Acknowledgement - Input,12
2010-03-24,2010-03-24,Internal Management,68
2010-03-24,2010-03-24,Mail - Input,6
2010-03-24,2010-03-24,Mail - Recieved,7
2010-03-24,2010-03-24,Visit,486
2010-03-24,2010-03-24,Web - Input,119
2010-03-25,2010-03-25,Call - Input,3677
2010-03-25,2010-03-25,Fax - Input,60
2010-03-25,2010-03-25,Fax Acknowledgement - Input,5
2010-03-25,2010-03-25,Internal Management,85
2010-03-25,2010-03-25,Mail - Input,15
2010-03-25,2010-03-25,Mail - Recieved,11
2010-03-25,2010-03-25,Visit,470
2010-03-25,2010-03-25,Web - Input,129
2010-03-26,2010-03-26,Call - Input,3200
2010-03-26,2010-03-26,Fax - Input,59
2010-03-26,2010-03-26,Fax Acknowledgement - Input,6
2010-03-26,2010-03-26,Internal Management,41
2010-03-26,2010-03-26,Mail - Input,6
2010-03-26,2010-03-26,Mail - Recieved,13
2010-03-26,2010-03-26,Visit,399
2010-03-26,2010-03-26,Web - Input,83
2010-03-27,2010-03-27,Call - Input,270
2010-03-27,2010-03-27,Web - Input,23
2010-03-28,2010-03-28,Call - Input,147
2010-03-28,2010-03-28,Web - Input,15
2010-03-29,2010-03-29,Call - Input,3955
2010-03-29,2010-03-29,Fax - Input,52
2010-03-29,2010-03-29,Fax Acknowledgement - Input,4
2010-03-29,2010-03-29,Internal Management,27
2010-03-29,2010-03-29,Mail - Input,7
2010-03-29,2010-03-29,Mail - Recieved,12
2010-03-29,2010-03-29,Visit,536
2010-03-29,2010-03-29,Web - Input,155
2010-03-30,2010-03-30,Call - Input,4251
2010-03-30,2010-03-30,Fax - Input,64
2010-03-30,2010-03-30,Fax Acknowledgement - Input,4
2010-03-30,2010-03-30,Internal Management,17
2010-03-30,2010-03-30,Mail - Input,14
2010-03-30,2010-03-30,Mail - Recieved,18
2010-03-30,2010-03-30,Visit,474
2010-03-30,2010-03-30,Web - Input,114
2010-03-31,2010-03-31,Call - Input,3703
2010-03-31,2010-03-31,Fax - Input,57
2010-03-31,2010-03-31,Fax Acknowledgement - Input,7
2010-03-31,2010-03-31,Internal Management,34
2010-03-31,2010-03-31,Mail - Input,4
2010-03-31,2010-03-31,Mail - Recieved,16
2010-03-31,2010-03-31,Visit,437
2010-03-31,2010-03-31,Web - Input,95
2010-03-31,2010-04-01,Call - Input,1
2010-04-01,2010-04-01,Call - Input,2427
2010-04-01,2010-04-01,Web - Input,62
2010-04-02,2010-04-02,Call - Input,95
2010-04-02,2010-04-02,Web - Input,14
2010-04-03,2010-04-03,Call - Input,119
2010-04-03,2010-04-03,Web - Input,8
2010-04-04,2010-04-04,Call - Input,121
2010-04-04,2010-04-04,Web - Input,10
2010-04-05,2010-04-05,Call - Input,144
2010-04-05,2010-04-05,Web - Input,13
2010-04-06,2010-04-06,Call - Input,4690
2010-04-06,2010-04-06,Fax - Input,42
2010-04-06,2010-04-06,Fax Acknowledgement - Input,7
2010-04-06,2010-04-06,Internal Management,23
2010-04-06,2010-04-06,Mail - Input,12
2010-04-06,2010-04-06,Mail - Recieved,9
2010-04-06,2010-04-06,Visit,664
2010-04-06,2010-04-06,Web - Input,166
2010-04-07,2010-04-07,Call - Input,4240
2010-04-07,2010-04-07,Fax - Input,97
